Artificial Intelligence (AI) part time job/internship at Delhi,"Delhi, Delhi",Digiinbox Technology Private Limited,"About the company:
DiGi Inbox Education is a pioneer organization which has established India's first-ever artificial intelligence, digital marketing programs in schools/colleges. Seeing an unprecedented demand for the latest technologies, we have taken a step forward and reached out to numerous students with the recent technical fields like artificial intelligence, machine learning, data analysis and astronomy to cater the need of the hour. We are a team of digitally equipped engineers, scientists, researchers, academicians and professionals who aim at building a better education with a hands-on and interdisciplinary curriculum as per the Indian education system. We are based in pan India, Michigan, Philippines and are having educational institutes around Delhi-NCR, Kanpur, etc. that render services to schools, corporate sectors, and professionals. We are popularly known for holding the license by the directorate of education to conduct educational programs across all Delhi-NCR government schools.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Design AI-based basic activities for the schools 2. Assist the senior officials in improvising the curriculum 3. Execute the seminars or group interactions in schools 4. Brainstorm and come up with a lot of different ideas based on AI for schools 5. Maintain a high standard of content delivery
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 5th Sep'19 and 5th Oct'19
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
Name,Location,Company,Description
Quantitative Insights,"Delhi, Delhi",Kadence International Research,"Job SummaryQuantitative Researchers play a key role on the Quantitative Research (“QR”) team, which is responsible for developing and testing automated quant trading strategies using sophisticated statistical techniques.Responsibilities and DutiesConceptualize valuation strategies, develop and continuously improve upon mathematical models, and help translate algorithms into codeBack test and implement trading models and signals in a live trading environmentUse unconventional data sources to drive innovationConduct research and statistical analysis to build and refine monetization systems for trading signalsRequired Experience, Skills and QualificationsAdvanced training in Mathematics, Statistics, Physics, Computer Science, or another highly quantitative field (Bachelors, Masters, PhD degree)Strong knowledge of probability and statistics(e.g.,machine learning,time-series analysis,pattern recognition,NLP)Prior experience working in a data driven research environmentExperience with NoSQL databases (e.g.,MongoDB)Experience with distributed computing using MapReduceExperience with analytical packages (e.g., R,Matlab)Independent research experienceAbility to manage multiple tasks and thrive in a fast-paced team environmentExcellent analytical skills, with strong attention to detailStrong written and verbal communications skillsOpportunities available in Chicago, London, Hong Kong and New YoJob Type: Full-timeSalary: ₹50,000.00 to ₹70,000.00 /monthExperience:work: 3 years (Preferred)total work: 5 years (Preferred)Education:Master's (Preferred)Industry:Marketing"
Name,Location,Company,Description
Data Entry Operator/Computer Operator,"Dwarka, Delhi, Delhi",Cvision.ai analytics pvt. ltd.,"Job Summary- The applicant would have to label images that he/she sees on a desktop. This would be used for training our machine learning/AI (https://www.cvision-ai.com/)- The applicant should know basics of operating a computer- Salary would be dependent on the number of images labelled per day (ranging from INR 10k-12k per month)- Location will be Dwarka Sec 19. Candidates should be maximum 30 min away from Dwarka- Job timings: 10 am to 5 pm, or 11 am to 6 pmResponsibilities and DutiesCovered under ""Job summary""Key SkillsBasic Computer SkillsRequired Experience and QualificationsNo experience requiredBenefitstraining on computersJob Types: Full-time, ContractSalary: ₹10,000.00 to ₹12,000.00 /monthEducation:Secondary(10th Pass) (Preferred)Industry:Software Development"
Name,Location,Company,Description
Associate - CEOs Office,"New Delhi, Delhi",Squad,"Associate | CEOs Office at Squad
We're looking for an entrepreneurial candidate with strong analytical and communication skills to join the CEO's office at Squad.
This requires a candidate who is extremely motivated, dedicated, and passionate about entrepreneurship. It's a high growth opportunity to be part of fast-growing startup!

About Squad
Humans + AI = Future of Work
SquadVoice (http://squadvoice.co/?no_redirect): Traditional relationship-driven high-ticket consumer sales (like real estate) has zero intelligence and lacks sales acceleration tech. As a result, conversions are poor. We fix exactly that and enable teams to close 2-4x more deals on the same spend.
SquadVoice bridges the gap between marketing and sales by driving more qualified leads to sales-reps, increases ‘active pipeline', making reps more productive and accountable, thereby driving a 2-4x increase in deals. We're improving our funnel with every transaction that's going through the system as we're sitting on top of CRM data which no one's using.
After scaling this product in India, we launched SquadVoice in the US (https://www.squadvoice.co/?no_redirect), targeting the Real Estate industry, and are looking to scale this further. Here's the latest deck. (https://drive.google.com/file/d/1V-WesMyGc7Ekr8AdrA7Ma7JTqZpylOGT/view)
It's an exciting time at Squad. 6 months into our launch in the US Real Estate market, we are really blowing up (growing 50%+ MoM)! As we venture into our next phase of growth, we are looking for passionate individuals to be a part of our journey and co-build Squad with us.

Overall Responsibilities
Working closely with various departments, increasingly in a consulting role, assisting line managers to understand and implement policies and procedures to scale the business.
Be the face of the company for talent acquisition and corporate communication activities across different channels.
Identify and execute Bizops initiatives to remove the growth bottlenecks for the company.
Help the CEO in navigating key challenges being faced by the firm across functions.
Investor Relations: Support CEO with investor communication and keeping them updated with the KPIs of the business
Requirements
1-3 years entrepreneurial experience (serious student startup experience counts).
Excellent written and oral communication skills and the ability to express thoughts logically and succinctly.
Sales, ownership and insane hustle.
Attention to detail.
Someone who is willing to learn and take challenges.
Education: Graduate in any domain (drop-outs are cool as well!)
Why should you consider us seriously?
We believe that longer-term, people >> product & profits and prioritize culture over everything else. Check out http://bit.ly/culture-deck-squad. See Glassdoor reviews. (https://www.glassdoor.co.in/Reviews/Squad-Reviews-E1047049.htm)
We have an audacious vision of reimagining how work gets done! (https://twitter.com/shamiksharma/status/867671449871433729) We're one of the few applications of AI/ Machine Learning that actually has a massive market and business model to create a long term valuable business rather than a short-term acquisition play!
We have plans to grow 10x in the next 1.5 years.
We are a well-balanced team of experienced entrepreneurs and are backed by top investors across India and the Silicon Valley (Blume Ventures, Abstract Ventures, Emergent Ventures; Senior execs at Google, Square, Genpact & Flipkart; Co-founders of Infosys, Snapdeal, Slideshare, Zomato, etc)
Our platform empowers stay at home mothers and grey collared workers as a stable source of income across India and US. For us, this is truly impactful. Every day, we see success stories such as - how a single mother is sustaining herself (https://www.youtube.com/watch?v=EY4UzAuBpdg). Empowering our contractors to be financially independent (https://www.youtube.com/watch?v=F2ormM5UF08) is a strong part of our vision!
Other benefits
All meals are on the house :)
Unlimited vacation policy, which means you are not entitled to a specific number of leaves per year. You can take time off from work according to what suits you the best. Needless to say, the system works on trust and we expect you to make fair decisions based on the team's needs.
You can read more about our values and culture: https://www.squadplatform.com/careers/
This is just the beginning and we're here to change the world. :)

Compensation:
INR 4.2 - 6 Lacs per annum + up to 4 Lacs of ESOPs.
Location - Noida"
Name,Location,Company,Description
Product Manager- Data Science,"Delhi, Delhi",Squad,"We're looking for entrepreneurial people with the right mix of hunger, experience, and cultural fit to help us realize our vision of ‘re-imagining how work gets done'.
About Squad
Humans + AI = Future of Work
SquadVoice (http://squadvoice.co/?no_redirect): Traditional relationship-driven high-ticket consumer sales (like real estate) has zero intelligence and lacks sales acceleration tech. As a result, conversions are poor. We fix exactly that and enable teams to close 2-4x more deals on the same spend.
SquadVoice bridges the gap between marketing and sales by driving more qualified leads to sales-reps, increases ‘active pipeline', making reps more productive and accountable, thereby driving a 2-4x increase in deals. We're improving our funnel with every transaction that's going through the system as we're sitting on top of CRM data which no one's using.
After scaling this product in India, we launched SquadVoice in the US (https://www.squadvoice.co/?no_redirect), targeting the Real Estate industry, and are looking to scale this further. Here's the latest deck. (https://drive.google.com/file/d/1V-WesMyGc7Ekr8AdrA7Ma7JTqZpylOGT/view)
It's an exciting time at Squad. 6 months into our launch in the US Real Estate market, we are really blowing up (growing 50%+ MoM)! As we venture into our next phase of growth, we are looking for passionate individuals to be a part of our journey and co-build Squad with us.
Requirements
Atleast, 2 years experience building a data science product
Education: Graduate (BE/BTech) in a relevant domain
Strong understanding of Data Science. Ability to identify where ML/DS can be leveraged
Great understanding of model performance metrics. Knowing which metric matters for what use case
Open-minded with experimentation. Has good hold over experimental design.
Has an agile mindset. And yes, that doesn't mean putting in place a cookie cutter agile framework but it's more about staying true to the ethos of agile (https://agilemanifesto.org/)
Excellent at breaking down product milestones into multiple small iterations. Fail-fast approach.
Not shy of getting your hands dirty. Someone who understands that staying closer to the problem & forming a good domain context often involves doing some grunt work.
Good understanding of how data platforms work in production & knowledge of how data infrastructural components function
Ability to stay focused on outcomes over output. We operate in cross-functional teams (https://labs.spotify.com/2014/03/27/spotify-engineering-culture-part-1/) with OKRs (http://eleganthack.com/the-art-of-the-okr/). Excellent outcome based prioritization skills.
Traits & culture: Entrepreneurial & willing go the extra mile. Manager of one (https://signalvnoise.com/posts/1430-hire-managers-of-one). You can read more about our values and culture at: https://www.squadplatform.com/careers/.
Core responsibilities
Owning the roadmap (https://twitter.com/simplybastow/status/1168531672335343616) & strategy of the data science products you'll be responsible for
Responsible for defining the right outcomes/OKRs (http://eleganthack.com/the-art-of-the-okr/). Religiously tracking the outcomes to the granular level.
Prioritizing the experiments in close collaboration with product engineers & data scientists
Responsible for defining clear specs. And shaping our data platform while anticipating future needs
Working closely with engineering & to build infrastructure for productionizing our algorithms
Keeping all the relevant stakeholders aligned during decision making (SPADE (https://firstround.com/review/square-defangs-difficult-decisions-with-this-system-heres-how/))
Defining mutual contracts with interfacing product teams
Talking to customers & doing the legwork to gain domain expertise
Actively contribute towards growing the product culture at Squad
What's in it for you?
People who have joined us in the past have experienced tremendous growth. You will get to join our product team at a very early stage with significant potential for impact to our future growth. Check out our medium publication (https://medium.com/squad-engineering) for more. :)
Being part of a small team, you will also work directly with the founders and have good transparency into the business strategy, and get to see how a business is built. People who join Squad are extremely smart and you will end up forging lifelong bonds here. :)
Logistics
Compensation: ₹16-22 LPA + ESOPs
Location: Noida, NCR
Joining Date: Tomorrow ;)
Why should you consider us seriously?
We believe that longer term, people >> product & profits and prioritize culture over everything else. Check out http://bit.ly/culture-deck-squad. See Glassdoor reviews. (https://www.glassdoor.co.in/Reviews/Squad-Reviews-E1047049.htm)
We have an audacious vision of reimagining how work gets done! (https://twitter.com/shamiksharma/status/867671449871433729) We're one of the few applications of AI/ Machine Learning that actually has a massive market and business model to create a long term valuable business rather than a short-term acquisition play!
We have plans to grow 10x in the next 1.5 years.
We are a well-balanced team of experienced entrepreneurs and are backed by top investors across India and the Silicon Valley (Blume Ventures, Abstract Ventures, Emergent Ventures; Senior execs at Google, Square, Genpact & Flipkart; Co-founders of Infosys, Snapdeal, Slideshare, Zomato, etc)
Our platform empowers stay at home mothers and grey collared workers as a stable source of income across India and US. For us, this is truly impactful. Every day, we see success stories such as - how a single mother is sustaining herself (https://www.youtube.com/watch?v=EY4UzAuBpdg). Empowering our contractors to be financially independent (https://www.youtube.com/watch?v=F2ormM5UF08) is a strong part of our vision!
Other benefits
All meals are on the house :)
Unlimited vacation policy, which means you are not entitled to a specific number of leaves per year. You can take time off from work according to what suits you the best. Needless to say, the system works on trust and we expect you to make fair decisions based on the team's needs.
You can read more about our values and culture : https://www.squadplatform.com/careers/
This is just the beginning and we're here to change the world. :)"
Name,Location,Company,Description
System Analyst – Deep Learning || Delhi,"Delhi, Delhi",CCS Computers,"Job Description:
1.Customer interactions related to use-cases around ML (Machine Learning) / DL (Deep Learning); primarily getting them on the NVIDIA GPU acceleration stack for DL training & inferencing.
2.Helping customers set up their ML (Machine Learning) / DL (Deep Learning) infrastructure around Big Data typically unstructured datasets.
3.Having sound mathematical knowledge of ML (Machine Learning) / DL (Deep Learning) algorithms especially MLP (Multi-Layered Perceptron), CNN (Convolutional Neural Network) , RNN ( Recurrent Neural Network) & GANs (Generative Adversarial Network) for their problem statements.
4.Shifting their DevOps from traditional IT methodologies to automated & scalable IT solutions.
5.Setting up POCs for various use cases for clients as well as for internal product lines.
6.Helping clients from model training to deployment using the NVIDIA GPU hardware/software stack.
7.Help build the team training material & documentation for DLI training.
8.Serve as a single technical point of contact between the OEM & the client.

Skill Set:

1.Must have sound knowledge of Python programming language for software development.
2.Strong understanding of Python Language with proficiency in Algorithms & Data structures.
3.Hands on experience in Deep Learning frameworks like – Tensorflow/PyTorch/MxNET
4.Good understanding of DevOps tools like Docker & Kubernetes, Ansible
5.Excellent written and oral communication skills.
6.Sound mathematical understanding of Machine Learning.

Salary:
upto 3 LPA to 6 LPA

Other Benefits:
As per company policy

Industry:
IT Infrastructure

Functional Area:
Software Development

Role:
System Analyst


Desired Candidate Profile
Education-
UG:
BE/B-Tech

PG:

Minimum 2 yrs relevant."
Name,Location,Company,Description
AI Machine Learning Engineer (Project Based),"New Delhi, Delhi",Image Infosystems Pvt. Ltd.,"Job SummaryPosition : AI Machine Learning EngineerRole Category : AI Machine LearningJob Type - Contractual - Project BasedQualification Required : M.Sc. in Mathematics/ M. Tech (CS & IT)Location : New DelhiSalary : No constrain for the right candidateIndustry : IT - Software- Products & ServicesExperience Required : 2-3 yearsResponsibilities and Duties➢ Developing machine learning applications according to requirements by selecting appropriate data sets and data representation methods➢ Performing statistical analysis and fine-tuning using test results➢ Perform code reviews and suggest design changes➢ Training and retraining systems when necessary➢ Managing individual projects priorities, deadlines and deliverable with your technical expertise.Qualifications and SkillsPre- Requisites : ➢ Knowledge and understanding of Python, Tensor Flow, Keras and GPU Training, data mining, probability theory and machine learning.➢ Should be able to take end–to-end ownership of projects individually➢ Evidence of past (individual) projects done in AI Machine Learning➢ High level of logical and reasoning skillsJob Type: ContractExperience:AI and Machine Learning: 2 years (Required)Education:Master's (Required)Industry:Software Development"
Name,Location,Company,Description
Product Development Intern (Electronics),"New Delhi, Delhi",Valetude Primus Healthcare Pvt. Ltd.,"Job SummaryWould you like to work on medical devices? Are you looking for an ambitious new project to test and grow your skills? Valetude Primus Healthcare offers you an opportunity to work on state of the art technologies and learn alongside a great team.Our team is growing and we’re looking to hire a Jr. Product Development Engineer.We are looking for creative and collaborative people with a background in Computer Science, Electronics and allied fields.Responsibilities and DutiesSpecific functionality to product development teamsAssist product project teams with domain knowledgeResearch, recommend and implement tools as needed with the goal of increasing ease of manufacturing, cost of manufacturing and ease of assembly.Work with colleagues to design new systems and devicesTest theoretical designsCreate user-friendly productsSupervise technicians, craftspeople and other colleaguesRequired Experience, Skills and QualificationsBachelor's degree (or higher) in Electronics, Computer Science or related fieldHands on experience with Raspberry Pi and Embedded boards is mustHands on experience in Python or C/C++ programmingKnowledge on machine learning and deep learning frameworks will be an added advantageAbility to work in a teamBenefitsExcellent growth and advancement opportunitiesMentoring by domain expertsFlexible working hoursJob Type: Internship (Full-time offer after successful completion of internship)Job Types: Full-time, InternshipSalary: ₹10,000.00 to ₹12,000.00 /monthExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Bachelor's (Required)Industry:Scientific Research & Development"
Name,Location,Company,Description
Computer Vision Developer / Interaction Engineer,"Delhi, Delhi",Vizara Technologes,"Requirements:
We require a hardworking developer with the ability to create magic with code.
B.E/B.Tech/M.Tech/MS/Fresh PhD in Computer Science/Electrical Engineering.
Preferred if have Open CV Certification.
R&D experience in the area of Computer Vision/ Image Processing/Pattern recognition/ Machine Learning.
Sound knowledge of algorithms such as object detection/ recognition/ tracking/ classification.
Proficiency in C/C++ programming is a must.
Proficiency in OpenCV /Matlab programming is a must.
Experience of Java/Android based programming is a plus.
Capable of working hard and at all hours to meet deadlines.

Responsibilities:
Developing AR/VR applications using softwares like Unity 3D and Vuforia.
Developing Vision based interactive interfaces with virtual walk-throughs of heritage sites."
Name,Location,Company,Description
AI/ML Engineer,"Delhi, Delhi",wayForward Health,"You are a humble, hungry and smart software engineer with an interest in working full stack while developing consumer-facing web and mobile products. You have fervent enthusiasm for usable, reliable and robust software. You realize that the classical software approaches aren't going cut it for rapidly evolving products built on top of modern UI frameworks and cloud-native infrastructures. You're ready to dive in and collaborate on any product, framework, tooling or infrastructure project that helps to get the job done.

Responsibilities:
Build prototypes and PoCs to quickly prove out approaches and solutions.
Help to architect and develop solutions for real-world, large-scale problems.
Setup feedback learning loops and fine-tune behavior based on customer interactions.
Formulate and run experiments to improve comprehension rates by altering topology, tweaking activations and learning function and alike.
Define training and validation sets; code automated tests.
Integrate into existing products by exposing well defined interfaces.
Stay up to date with latest developments and mentor to others.
Work in an agile environment, rapidly delivering shippable features into production.

Requirements:
Degree in computer science or equivalent practical experience.
1+ years of production level experience in embedding Machine Learning, Deep Learning in applications.
1+ years of production level experience with using NLP and NLU in applications.
Practical experience in developing chatbots or voice assistant solutions, a strong plus.
Practical experience with any major deep learning engine.
Practical experience in running ML training and tuning at scale.
High proficiency in Python, Node.js, or Java.
Practical experience in SQL and/or NoSQL databases.
Practical development experience on Linux, Unix, or MacOS environments, a plus.
Practical experience in Rasa Core, DialogFlow or LUIS, a plus.
Practical experience developing with micro services and REST APIs, a plus.
Practical experience developing and deploying applications on public cloud, a plus."
Name,Location,Company,Description
Artificial Intelligence (AI) part time job/internship at Delhi,"Delhi, Delhi",Digiinbox Technology Private Limited,"About the company:
DiGi Inbox Education is a pioneer organization which has established India's first-ever artificial intelligence, digital marketing programs in schools/colleges. Seeing an unprecedented demand for the latest technologies, we have taken a step forward and reached out to numerous students with the recent technical fields like artificial intelligence, machine learning, data analysis and astronomy to cater the need of the hour. We are a team of digitally equipped engineers, scientists, researchers, academicians and professionals who aim at building a better education with a hands-on and interdisciplinary curriculum as per the Indian education system. We are based in pan India, Michigan, Philippines and are having educational institutes around Delhi-NCR, Kanpur, etc. that render services to schools, corporate sectors, and professionals. We are popularly known for holding the license by the directorate of education to conduct educational programs across all Delhi-NCR government schools.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Design AI-based basic activities for the schools 2. Assist the senior officials in improvising the curriculum 3. Execute the seminars or group interactions in schools 4. Brainstorm and come up with a lot of different ideas based on AI for schools 5. Maintain a high standard of content delivery
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 5th Sep'19 and 5th Oct'19
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
Name,Location,Company,Description
Machine Learning Engineer,"Delhi, Delhi",Tradeindia.com,"Tradeindia is looking for Machine Learning Engineers to join its engineering team.

Responsibilities:
Collaborative filtering/recommendation.
User journey prediction.
Search ranking.
Text/ sentiment classification or spam detection.
Predictive analytics.

Requirements:
Qualification: M.tech, B.tech, M.C.A.
The ideal candidate will have industry experience working on a recommendation engine, a range of classification and optimization problems e.g.
The position will involve taking Algorithm and Programming skills and applying them to some of the most exciting and massive SMEs user data.
Candidates with relevant experience."
Name,Location,Company,Description
